Blanche,2.3336155,48.8834533
Pigalle,2.3381228,48.8822775
Anvers,2.3442565,48.8828803
Barbes Rochechouart,2.3495359,48.8837741
La Chapelle,2.36468294952667,48.8932263
Stalingrad,2.3659442,48.884287
Jaures,2.3703263,48.8825949
Colonnel Fabien,0.0,0.0
Belleville,2.38670139651609,48.87123635
Coucouronnes,0.0,0.0
Melilmontant,0.0,0.0
Pere Lachaise,2.3873271,48.8629761
Philippe Auguste,2.3901666,48.8582563
Alexandre Dumas,2.3095098744883,48.88302565
Avron,2.3980153,48.852024
Nation,2.3960523,48.8480576
Pont de Levallois Becon,0.0,0.0
Anatole France,-56.2728051,-34.829522
Louise Michel,2.4951382,48.9148849
Porte de Champerret,2.2934906,48.8859272
Pereire,2.2989738,48.8846696
Wagram,2.3037368,48.8840549
Malesherbes,2.3092274,48.8828638
Villiers,2.3149026,48.8811421
Europe,2.31571463937064,48.87844215
Saint Lazare,2.3253611,48.875657
Havre Caumartin,2.3273189,48.8736792
Opera,2.33791879842134,48.87708025
Quatre Septembre,2.3367072,48.8695654
Bourse,2.34311922147613,48.86768755
Sentier,2.3455628,48.8677105
Reaumur Sebastopol,2.3524641,48.8662606
Arts et Metiers,2.3560793,48.8654079
Temple,2.3586856136215,48.8627011
